,country,score,topic,review,category,sentiment
4471,United States,1,Waze - Battery impact,"With the latest updates, I started to note that waze is draining my battery, it drained 42% of my battery for using waze for 1 hr",requirement,positive
4472,United States,1,Great app with super intrusive / battery drawing location settings,"The app works well - but the location settings is a deal breaker. Unlike most other apps you only have two options: always or never. Add ""while in use"" and I will re-review. The ""sleep"" function is useless as it still shows it is actively using my location and sucking my battery. 
 
 Unacceptable.",requirement,negative
4473,United States,1,Terrible now,"Used to be great. After the past few update I constantly am getting ads, and I agree with the always using my location. It's not needed, I suppose it helps with real time traffic but we should at the least have the option.",requirement,negative
4474,United States,1,Was great now not worth even testing,"Waze was a great app that got me around many detours and traffic jams.That was until Google bought the app.The app now uses routes that defy all logic.
 
 Today, for example, Waze gave me three options to travel a trip that only takes 10 to 15 minutes, there were no traffic issues. The app suggested that I take three very obscure routes one that would take 22 minutes, another that would take 25 minutes and the third that would take 1 hour and 4 minutes
 
 I am deleting the app and will for another one tonight.",requirement,negative
4475,United States,1,Bricked,The latest version has bricked this app.,bug report,negative
4476,United States,2,Fail. Fail fail.,Waze has failed for last time. Unreal.The map is in accurate. Construction sites aren't posted. Doesn't update in reroute when there are accidents and people posting that traffic has stopped.,requirement,neutral
4477,United States,2,Great app when working,"Love this app and all the features. However, recently I get a router time app just about every time I try to search for an address. Very frustrating and makes the app pretty much useless. Needs to be fixed.",requirement,negative
4478,United States,2,Waze has problems,Frequently attempts to re-route unsuccessfully.Has directed me down dead end roads several times.Consumes battery and bandwidth.Too many icons popping up will cause a distraction and an accident.,requirement,neutral
4479,United Kingdom,2,Potentially very good but also totally flawed,"Potentially brilliant app, spoiled only by the fact that you can't set gps to be on ""while using app"". It's on or off only and seriously drains the battery!",requirement,negative
4480,United States,2,"Some Good, Some Bad","Can be great at times, and not so much other times.The route service doesn't always anticipate rush hour traffic and will be off by 15, 20, 25 minutes at times.It also doesn't always take the quickest route.",requirement,neutral
4481,United States,2,"Great app, but new version kills the battery","Like the title says, this app is fantastic but for some reason it suddenly started running all the time in the background, using GPS even when the app is closed. It's draining the battery. This used to be a problem, was fixed, but more recently started again. Hope they fix it so I don't have to keep shutting down my location services for it",bug report,negative
4482,United States,2,Used to love it,"A year or two ago I would've given this app 5 stars.Now, it crashes and freezes all the time. Can't get alternative routes or schedule drives. Unfortunately, I've been forced back to google maps",requirement,negative
4483,Canada,2,poor route guidance during rush hour,"I find that this app has very poor shortcut and guidance routes in rush hour. i think its algorithm tries to avoid straightforward routes to avoid backups however not only are its route congested, they are also slower than google maps directions. for over a month i logged my usage with waze vs google maps and in the end i give the nod to the latter as its routes are more straight forward and also overall faster. This app was a total torture in the month that i used it, never got stuck in such bad congestion before. For example in toronto Don Valley Parkway (freeway) gets very congested during rush hour and instead this app recommends taking more city streets, however this ends up being even worst as the city is always backed up due to redlights, heavy pedestrian presence and public transport. it's much better sticking with google maps (online with traffic) less complicated directions. The only advantage this app has over google maps is show of police traps however not always are these accurate.",requirement,negative
4484,United States,2,"The best there is, but...","Waze is the best that I have found, yet there are still epic issues. If I had a dollar for every time it took me into the heart of horrific traffic, I would have no need to work anymore.",requirement,negative
4485,United States,2,Adequate power hog,"This review is in respConse to numerous pop ups wanting a review to spread the word. Ah, evangelicals.
 
 Waze is adequate, although it has sent me on more than one far, far out of the way circuitous route. It has a real voracious appetite for power and is a serious battery drainer. 
 
 Beyond that it never seems to shut down on command. So, it continues to guzzle more 'fuel' than an ill timed Escalade. Invariably I am forced to completely shut down my iPhone, then wait for it to reboot to shake Waze awaze. That is not convenient. 
 
 On balance in a ratio of useful to problematic, the usefulness quotient is outbalanced by the pain in the neck elements. Hence, I don't often use the app.
 
 To further diminish my fondness for this app, it seems to be rejecting my two star rating. I've 'sent' numerous bits of feedback this morning re other apps, however, this Waze review is refusing to 'send.' I'll keep trying.Ahhhhh, perseverance paid off, I think. Haven't heard the fat lady sing, yet.",requirement,negative
4486,United States,2,Slow after update,Controls and page flips are very slow. Routes won't load. Says timed out,bug report,negative
4487,United States,2,Takes you down a bad path,"Seems to lag a lot. Tells me turns as I drive past
 A lot of superfluous routes",bug report,negative
4488,United States,2,Ok but doesn't auto re-route well,"1) Omw to work, tell Waze I want another stop first. Go there and then head to work but Waze doesn't realize I made the first stop so constantly tries to turn me around when I actually do head to work.Was fixed in prior version but I guess with no regression testing this bug is back.2) No ability to preview different voice options.3) needs better ability to report *relevant* speed limit updates. 4) feature to contact their support system is overwhelming. No ability to give immediate feedback on route just taken. Owned by Google. Maybe this or Maps will get better soon.",requirement,neutral
4489,United States,2,"Hasn't gotten smarter, ads ruin experience","Don't get me wrong, I love Waze and it has saved me many times. But it has only gotten worse and worse over time. 
 
 It makes me take crazy detours filled with side streets, turns, lights and crosswalks just to save under 1-2 minutes of time... not worth it. You should be able to compare routes ans choose the one you want to take. It also can't consistently recognize where you can U-turn especially when you accidentally head the wrong direction, instead forcing you to ""go around"" and drive a lot more than you need to. The ads are extremely annoying and damages the user experience as a distraction. Pretty sure most people don't care for the ads. Finally, the app often takes forever to load and identify my location and the route, especially when initially starting it up. And I never have that issue using Google Maps.
 
 This has caused me to switch back to Google Maps often. Until Waze addresses these things, I'll continue to use Google Maps as my go to navigation app.",requirement,neutral
4490,United States,2,Could be better,"Distance measurement in this app lags behind Garmin -- it will show much bigger distance than in reality and I'm constantly finding myself making last-minute turns. If you live in a busy city it can add to your frustration. 
 And as others have noted, they don't seem to respect your privacy by having collecting your location even when you're not using the app.
 Other than that, a great app with clean interface and up-to-date notifications about road/traffic conditions.",requirement,negative
4491,United States,2,Not that great,I have to use this app in conjunction with another map app because it never knows what street I'm actually on.It thinks I'm on a highway when I'm on an access road or other such parallel occupancies.I only use this app for alerts.,bug report,negative
4492,United States,2,Why do you need my location ALWAYS,"Hey Waze you're about to lose me as a customer bc I don't like having my location services on all the time. Bad for battery life and just plain creepy to look up and see the arrow indicating you're tracking me at random times. Why can't it be ""While Using"" like the Maps Ap?Fix it or I'm out",requirement,negative
4493,United States,2,Is losing its appeal...,"The directions are generally good. It's the instability and unreliability of the ancillary functions that are the most disappointing and frustrating, i.e. communicating with and following another driver's trip. And logging into the app on my desktop, it's almost as though it has no relationship to the app on my phone. So I find myself migrating away from using it as much as I did in the past, particularly when given the option to use an alternative.",requirement,negative
4494,United States,2,first u took vlade divacs....and now you've come for my battery!,".... and now you've come back to steal my battery!!
 
 constant location services has to be enabled, why do u need a geofence even when the app is closed?
 
 work-around is to always disable location services for waze, and only toggle it on when i am actively using the app to navigate.
 
 (old part of review lol) they took away Vlade Divacs voice, and now Arnold is going too.I used to keep the app open all day to hear Vlade and then you crushed my soul...",requirement,negative
4495,United States,2,Insanely small map badges/labels,"For the love of god, please allow badge scaling! They are getting smaller and smaller with every release. Now, they appear as meager little dots... can't event see what they are!",requirement,negative
4496,United Kingdom,2,Not reliable,"This is great when it works. Unfortunately for me it drops the GPS connection frequently. When I run my sat nav at the same time, it always had a signal. Thought it would be easier to have a app, less bulky. But it's back to the TOMTOM for me",bug report,neutral
4497,United States,2,I'm being generous with 2 stars,"This app is good if you want to look at a map. But as far as the directions go, it's horrible. It's a 4km ride to my job and if I put it in waze, it'll turn into a 16km ride, all because they want to send me out of my way just to get there. The directions took me on a street where I should've gone straight for a couple miles, but this app made me make a left and then an immediate right down an alley way. And another immediate right and then I had to make a left and I was back on the same road that I should've stayed on in the first place. Plan your route in advance because it'll have you doing stupid turns in rush hour.",requirement,negative
4498,United States,2,Routes are no longer the shortest distance,"Recently I noticed that the app will take me through side streets and down streets with speed bumps instead of main roads with a shorter distance. Today, it wanted me to take backroads to get to a main road to get on the freeway. The route it gave me would require me to make a left without a light onto a main road. Not only that, the route down the side streets put my arrival time at 26 mins, the route I chose stay on main roads, shortened my arrival time to 13 mins!! A similar issues happened yesterday and last week!",requirement,negative
4499,United States,2,What is the problem with the server?,"It was great when I first started, but in last month I'm trying to get directions as a Lyft driver and it stalls because it can't route to the server???",bug report,negative
4500,United States,2,Miles DRIVEN in App,The is no way in finding the driven miles in the Map Editor in the App,requirement,neutral
4501,United States,2,Apple Watch,Is there a chance the app will be adding use with Apple Watch?,requirement,neutral
4502,United States,2,No Voice Command Option,It was working great then a new update was released. My wave to activate voice command doesn't work. I uninstalled / reboot phone / re-downloaded and still the same thing. There is no option to enable voice command under settings > sound and voice. I reported the issue and advisedto install the new update and create a new ticket if the issue is not resolved. I ended up creating a new ticket since I'm still having the same issue.,bug report,negative
4503,United States,2,Ehh needs work,"Works great on the open Highways but goes brain dead on country roads, keeps trying to take me miles out of my way. Best to use as a secondary device for the alerts and use a real gps for navigation.",bug report,neutral
4504,United States,2,New User,Love it so far. Sometimes it does send me around extra streets.,bug report,negative
4505,United States,3,It's ok,I like the accident updates. I like waze but wish they had an option to ha e a preferred route. Every single day it wants to make me take a route I hate because it's shorter. No thank you. If they can change that then I would love it more.,requirement,negative
4506,United States,3,CarPlay,Waze and GoogleMaps are very determined never to be CarPlay enabled and it's still the number one feature desperately missing from the application.,requirement,negative
4507,United States,3,Glitchy,I restored my phone and Waze could not restore my points.,bug report,neutral
4508,United States,3,Good but...,"More often than should be expected I get the ""uh oh - can't access map at this time"" message.It seems to only happen at rush hour... when I need it most!",bug report,negative
4509,United States,3,Don't bother,Lots of bugs and glitches. Google is better,other,neutral
4510,United States,3,Alt Routes Needs Work,"I've been using this app about six months in a smaller metro area of North Carolina. I'm a sales person that drives for a living so I'm always looking for shortcuts and the ability to skirt around traffic hassles.
 The ability to crowd source reported patrolman, disabled vehicles and road closures is the primary positive of this app.
 When calculating alternative routes the algorithm is wildly in accurate at times. Not all the time but many times routes will be displayed that are completely irrelevant to the starting and ending points of trips. And yet when you get close to a landmark that would be a deciding factor in time or hassle saved the app does not recalculate a different route consistently.",bug report,positive
4511,United States,3,Recent Update is TERRIBLE!,Waze PLEASE REMOVE this new voice assistant repeating back your address to you. I have voice turned off altogether for a reason. Plus it takes up more time than previously wasting my time.,requirement,neutral
4512,United States,3,Confusing Driving Directions,"I like some of the app's features (the reminders of leaving times is particularly great), but more often than not, I find myself taking wrong turns-or missing my turns -because the driving instructions or the maps are confusing. I find myself not using Waze for this reason.",requirement,neutral
4513,United States,3,Watch the routes,Waze isn't always on the ball with the best or shortest routes. Sometimes their maps are not updated. We have gone into dead ends towards a swamp. It's helpful with traffic congestion while other wazers report a problem.,requirement,positive
4514,United States,3,Wait for the next update,Seems to work well.,other,neutral
4515,United States,3,Use it all the time,"Great app, very helpful and time saving.The only drawback is that it doesn't quickly recognize fast enough the direction you're going when you first start out. So you may have to do some U-turns. Other than that it's fantastic. I use it exclusively.
 
 Edit to add: I don't know what happened but with the last couple of update the app has been acting kind of wonky. It's not quick to respond to where you are on the road and it drove me around in circles a few times where it had before. I had to reduce my rating from five stars to three because of this. I hope they get the kinks worked out and I will edit my review again.",requirement,neutral
4516,United States,3,No Apple Watch,It has great features but no support for Apple Watch:(,requirement,neutral
4517,United States,3,Too busy,"There's too much stuff going on when using this app that makes it distracting. Also, maybe It's just me but I find it very difficult to set a route beginning at a different location, not my current location. When I try it just says cannot connect to server... I love the ""later"" option but it would be great if I could choose/see traffic if I was starting from another location. This would come in handy for planning trips with multiple stops along an extended period of time.",requirement,positive
4518,United States,3,Must Have app,"May 2017 update
 Don't know what has happened to this app but would love for it to be fixed back to original. More often then not now this app can take you the long way around so check routes. Also very often has location of business on wrong side of road. You used to be the best hands down but now there are some bugs that I wish would be fixed
 
 Oct 21, 2015 update
 Loved the old Waze not so happy with new updates!! Hard to view not driver friendly!! Change back!!!!
 
 Best navigation tool around!! But don't ever loose the ability to see speed traps!! Also sometimes it continues in background even though you stop navigation and go out of app?? That can be annoying but otherwise BEST OUT THERE!!",requirement,neutral
4519,United States,3,Love/Hate,"I have a serious love hate relationship with Waze. I love its traffic and road hazard alerts, it's routing, and the little speedometer that lets you know when you are over the limit. 
 I don't really mind that it occasionally seems to perform experiments on you and send you on nonsensical detours. 
 What I hate is that it really really wants to know your location all the time. Rather than letting me choose ""allow location services only when using the app"", I have to go through a song and dance in the app every time I finish using it. If I forget, having the GPS on kills the battery in my aging 5s. Sometimes location services stay on even with the song and dance, and I have to turn off location services in settings. Failing to turn LS back on before opening Waze sends Waze into a tizzy. 
 But for the location services headache, Waze is a 5-star app.",requirement,negative
4520,United States,3,Confusing routes,Really threw me off a couple of times in the routes it suggested.,other,negative
4521,United States,3,UPDATED NEEDED,PLEASE UPDATE LOCATION ACCESS!!!! We love using Waze but find it terribly annoying to only have two options for location access. Always or Never options is subpar for an app with the type of technology invested.,requirement,neutral
4522,United States,3,"Best Driving App, but stop telling people to use the service road as a Lane of traffic","1) Best app for directions, but still could be a lot better
 2) Needs to have a route preview feature on the map where you can preview turns etc...
 3) Add the ability to add a ""base or preferred route"" and show a comparison to this preferred route and the suggested route.
 4) STOP TELLING DRIVERS TO GET ON AND OFF, ON AND OFF.THE SERVICE ROAD IS NOT A MAIN TRAFFIC LANE.THIS IS DISRUPTIVE TO TRAFFIC EXITING AND ENTERING THE HIGHWAY.IT IS UNSAFE!",requirement,negative
4523,United States,3,It's okay. Most of the time.,"Complaints: almost impossible to report lane or road closures. Too many notifications of cars stopped on the shoulder (who cares). App doesn't understand getting off the freeway to take a ""faster"" route can take more time. Good: free. Alerts me to accidents. Usually tells me the most efficient way home.",requirement,negative
4524,United States,3,Used to be better,Not sure why the changes but my quickest route home from work never comes up as an option anymore.The Mr. T obnoxious voice is extremely annoying too.,requirement,neutral
4525,United States,3,Love this and use daily!,"I love this concept!Great features! The reason why I did not score it higher is that I have trouble reacting to and posting alerts especially while driving. I would like to be able to identify issues retrospectively. Also, as an older user I need to wear bifocals to read icons etc.wish I could see the data without requiring special glasses.",requirement,negative
4526,United States,3,Good app when it works,"It's great when it's works, but it's annoying when it says it can't find me a route or the ""routing server timeout"" nonsense. Fix that and it will be practically perfect",bug report,neutral
4527,Singapore,3,Please fix GPS Always on. It's draining the battery,Really useful for navigation and alerts. However please fix the GPS always on. It's draining my handphone battery like no tomorrow even when I quit the app,requirement,positive
4528,United States,3,One BIG flaw,"I love everything about Waze with the exception of one BIG thing in my opinion. We'll get to that bit first let me mention a few things I love. Firstly, love how it feels like a community. App is updated by other users. I myself have paved new road and reported map issues. Love the notifications. Knowing that a police is hidden ahead or there is an object in there road has saved my but plenty of times. My gripe is there fact that unlike other GPS apps, Waze uses my location services ALL THE TIME. When I'm not using the app it shouldn't drain my battery. Hey, Waze, allow people to select use location services ""while using app"". If use it more often instead of switching between other GPS apps all the time.",requirement,positive
4529,Canada,3,later option not found,"i no longer see the option of ""later"" where's is that now? 
 
 pls help",requirement,neutral
4530,United States,3,"Has great potential, but....","It would be nice to know what side of the road an accident is on/a vehicle is stopped on and whether lanes are closed because of it.I get the message that I cannot put in a destination that is over 1000 miles away, but that it's being worked on, but it's been ""worked on"" for well over a year, possibly longer. Also, I am more than willing to pay for some of the celebrity voices, so I'd like to see that be made as an option too.",requirement,neutral
4531,United States,3,No network service,"Love Waze but...
 Can never get service when leaving home (right downtown)
 And the in car navigation in my wagon almost always gives me a faster route...
 Do like getting the police and other reports from Waze users though...",bug report,neutral
4532,United States,3,"Great driving app, butâ€¦","Edit 15 May 2017: the new upgrade isn't so great. It either takes forever to connect to the server to determine directions, or it doesn't connect at all. I do love be Waze, but there's a ghost in this version of the machine. 
 
 Really wonderful. Helps a LOT. Wish it was easier to integrate with ride sharing apps, as well as being more clear in stopping once one arrives. May just be me. But very helpful.",requirement,positive
4533,United States,3,Ok,This is pretty good on traffic but shuts down when call comes in.,bug report,neutral
4534,United Kingdom,4,Great but not perfect,"Although, my settings are for fastest route, sometimes it sends me back roads even though it would have been faster to stay on main roads. Could be better but generally happy with it. It should also consider the driver's past preferred routes to see they are just as good as calculated routes as a driver is likely to know local routes better",requirement,neutral
4535,United States,4,One of the best,"Very easy to use and is always updated. Of the thousands of times I've used the app it took me the wrong direction twice. And sometimes when you look up a route it'll tell you how far your destination is, but once you tap on the option to ""go now"" the trip will increase by about 3 miles. Other than that, the app would get 5 stars. P. S. This is the only app I use for directions.",requirement,neutral
4536,United States,4,On/off,"This is an amazing app! I have really become dependent on it...BUT, today it was so off. It kept directing me to go North when I needed to go South. The cut through streets were all wrong. I kept being directed into heavy, slow traffic. 
 Finally, I just went my regular way and there was no traffic.
 Go figure.",bug report,neutral
4537,United States,4,Close to regular destinations,"WAZE continues to take me in a loop to my work. I have suggested the edit 3 times and got responses it was fixed. Also sometimes I am seeing a left turn the voice will be saying ""in 1 mile go right"". WAZE is good for redirecting me around traffic SNAFUs.",bug report,positive
4538,Australia,4,Handy app,Great features that should be standard in all map apps.,other,positive
4539,United States,4,Amazing app,"Excellent application for its purpose, sometimes it gives some alternate route which I wished it didn't, but for most of the time it is just fine.",other,positive
4540,United States,4,Please allow location to when using,"Leaving the location on Always really drains my battery. If I had a ""while using"" option I'd use it more often. Otherwise I love the app",requirement,positive
4541,United States,4,Great app!,Sometimes a little slow to announce a turn but overall is good,requirement,positive
4542,United States,4,Love the app,This app tells when there's traffic and why and it saves a lot of time and hassle,other,neutral
4543,United States,4,Recent changes,So I love this app for the real-time reporting but I guess it was the most resent update that changed the voice alerts from saying things like vehicle on the shoulder ahead to hazard reported causing me to have to look down to see what kind of hazard... or instead of saying stay left to I-75 N it just says keep left which can be confusing in some locations... if it could go back to how it was before that would be great :),requirement,neutral
4544,United States,4,I love it but...,"I love this app! I use it almost every day and love to brag about it. However, I have to make trips out-of-state quite a lot and I have noticed that I can never calculate any trip for later. It's really frustrating not knowing what time I need to leave in order to make it at a specific time the next day. Also apparently finding other routes is just not going to happen. I don't know what happened with the update but I know that I would've given it five stars",requirement,neutral
4545,United States,4,One thing,"I really love waze. The alerts about accidents and police ahead are in real time and so helpful. The only thing that I wish waze did differently was say the street name when it said where to turn. It says ""in .5 miles turn left"" but never says a street name or route number. Other than that I think this is a great app.",requirement,neutral
4546,United States,4,Waze,"Love waze. Has helped me many times. 
 
 Occasionally loose connectivity.",bug report,positive
4547,United States,4,Best nav app,"Waze is a great app, fairly easy to use. Gave it 4 stars because I'd like to be able to share reports after I've passed a location. If I'm the driver and want to report an issue maybe 5 min later and I'm a local therefore know the location of the incident, it would be nice to be able to move to the location and make a report for other Wazers. Other than that, love it.Only app I use now!",requirement,positive
4548,United States,4,Almost too good,"Even when I know where I'mgoing, I use Waze for the up to the minute reports. It has saved me from getting tickets. It is so proficient it has routed me through subdivisions I didn't even know existed. I thought for sure it had the wrong destination but it always seems to get me there!",other,neutral
4549,United States,4,Very helpful,Some of the addresses are off a little bit but the app works great,bug report,negative
4550,United States,4,Excellent App,Use it in CA daily and it worked great in AZ when on vacation ï¿½ï¿½ï¿½,other,neutral
4551,United States,4,Waze is Great,"The more I use Waze, the more impressed with its GPS functions.The app continues to improve and I recommend it for your smartphone.",other,negative
4552,United Kingdom,4,Nice little app,Love it easy to use!,other,positive
4553,United States,4,Almost there.,"Love the app and it has real potential, but it kills the battery on my iPhone.",requirement,positive
4554,United States,4,Big help,I love learning alternative routes in my own city! And it's invaluable in other cities.,other,positive
4555,United States,4,I likes,It works,other,positive
4556,Australia,4,Best for live updates,Awesome app for city driving with live updates from other users. Needs an option for walking and sometimes doesn't take shortest route. It suggested a 6 1/2 hour journey for a 150 km trip.,requirement,positive
4557,United States,4,Love this app.. but,"I love this app. I think it is great in predicting the traffic and linking it with iCal is so easy. 
 I also love that it tells me when to slow down bc of police or hazards. 
 HOWEVER, unless you hit go the mileage and time can be dramatically different for a planned event or if you want to see how long it might take you to get somewhere. That needs to be fixed 
 And I'm upset about no longer being able to Kieth Morrisons voice as I drive bc they no longer offer that voice ðŸ˜¢",requirement,positive
4558,United States,4,Drivn2,Works4me,other,positive
4559,United States,4,My favorite for directions,I definitely depend on this app for getting around. It's great to see feedback from other Waze users and the directions are on point.,other,positive
4560,United States,4,Great for Commutes,I've found Waze is best for getting back and forth between work. I generally know the area but traffic can flux rapidly. Waze helps me prevent being late and road rage!,other,neutral
4561,United States,4,Nice app,"Good app, as accurate as can be.",other,positive
4562,United States,4,Great help,I use Apple maps and Google maps on a daily basis. This is more helpful with the speed limit alerts and the road hazard alerts.,other,positive
4563,United States,4,Love the app...Hate the ads,Hands down one of the best free navigation apps out there. The ads though are annoying and pop up at the worst time.,requirement,positive
4564,United States,5,Love Waze!!!,"I love my app, it's saves me so much time when I'm in a hurry. I'm able to see where the streets are closed and when they have construction, it even notifies me when a cop is ahead there is no better app. All my family members have this app and we hold competitions all the time to see who can have the most point. ðŸ¤—",other,positive
4565,United States,5,At a red light....,Smiling because as soon as it turn green I will keep on following the direction: I've saved 9 minutes by following Waze. But there's are moments when I have out smarted Waze wither taking a slightly different route. Waze is good company either way!Lol,other,positive
4566,United States,5,Best GPS by far,There is no comparison between Waze and the other gps out there. Waze is up to the minute and the best app to use and it's FREE!,other,neutral
4567,United States,5,Great app for big cities,Great help in DC area for help with driving and avoiding traffic,other,positive
4568,United States,5,Good,Good ap,other,positive
4569,United States,5,Yay! ï¿½,"Waze is great! iPhone fires you against your will to use tomtom, which takes you the worst route AND into traffic AND forgoes all short cuts AND takes you off satalite view. Waze saves us iPhone users from being lied to by tomtom. They also have really cute ghost cartoons with swords and crowns you earn when thanked. I'm thanked by reporting traffic. I think you can circumvent traffic, main roads, cops, and tolls using waze. :)",other,positive
4570,United States,5,Great traffic App!!!,This one of the best traffic app out there!!!,other,positive
4571,United Kingdom,5,Waze app rocks,There are no words to describe. Just say waze has given me the freedom to drive again without the stress of traffic....,other,positive
4572,United States,5,Directs Me Around Traffic,Directs around traffic and gives updates on traffic and road conditions as reported by other users. Now has sleep function to limit battery use while not using.,other,positive
4573,United States,5,I love technology,Great app.Keeps me informed and is a decent directions GPS also.,other,positive
4574,United States,5,Metro Atlanta,"I drive to see clients all over Metro Atlanta, and as a native born, who has a deep knowledge of Atlanta streets and neighborhoods, Waze has routed me through streets I probably would not have taken. 
 Having grown up here over 60 years, I pretty much know how to get off the main arteries during traffic and find my way on Autopilot. Waze has taken my advantages away. Be that as it may, everyone in my family and so many friends rely on Waze daily.",other,neutral
4575,United Kingdom,5,Great app,Like the connectivity to diary,other,neutral
4576,United States,5,Love it,"Great app , get Morgan freeman to do a voice for it and we loved Keith Morrisons where did he go ??? Love the dif voices keep doing them !! App is great I c no issues with it !!",requirement,positive
4577,Canada,5,"I use this in London ON...not many users here, but","Waze has probably saved me hours of wasted time on slower routes.Doesn't use much data, but takes a toll on battery.",requirement,positive
4578,United States,5,The best app on my phone.,Waze is always the first app I download to a new device.It's always on the first page of my home screen.,other,positive
4579,United States,5,Must try,Awesome,other,positive
4580,Canada,5,"Helpful, accurate and way more fun","Traffic is bad enough.Using Wayz makes it more palatable with an easier UI, personalities AND accuracy.",other,positive
4581,United States,5,Better than Google Maps,"Great way to travel. This app gives you all the information you need when it comes to finding your way. Even tells you if there's traffic, an accident, etc.",other,positive
4582,United States,5,Dependable and very useful app,Very happy with it.,other,positive
4583,United States,5,Good app. Drains my phone battery quickly,I like the features but it definitely kills my battery quickly,requirement,positive
4584,United Kingdom,5,Love it,"I love Waze. It's so easy to use and easy to follow. It would be even better if it had an option to direct you to which lane you should be in. Other than that, it's great.",requirement,positive
4585,United States,5,Always use,"Excellent app for navigation and alerts. Love the traffic notifications!
 Best navigation app ever!!",other,positive
4586,United States,5,Voices,Great app! Love it! Just bring back the T-Pain voice!!!!,requirement,positive
4587,United States,5,WAZE is the only WAZE to Go,I was informed about Waze by someone who travels quite a bit more than me. My only regret is that I did not download the app sooner,other,positive
4588,United Kingdom,5,Gus,Why buy a sat nav?? When you have Waze,other,positive
4589,United States,5,DEFINITELY RECOMMEND,"Waze is the best GPS app there is by far. I love that the app notifies me when there are cops, traffic, accidents, and any road issues. It's very convenient to have the option to choose either highways or ""back roads."" I've told all my friends who use GPS regularly to download Waze.",other,positive
4590,United States,5,Dependable,I rely on this app to get me to places in the best way and with dependable arrival times. I also like the notification feature to let those know if you are delayed.,other,positive
4591,United States,5,Awesome,"Terrific app. Gets you around accidents, construction etc. never fails.",other,positive
4592,United States,5,Would love to see this work with Apple Carplay.,Best. App. Ever.,other,positive
4593,United States,1,FIX PLEASE,"Let me start by saying I absolutely LOVE this app. So much in fact that I want to use all the features. I have been driving for 18 days now, road tripping. It STILL says I am a baby wazer and can't use all of the functions. The online dashboard says I am a regular wazer but it won't sync and update with the app. I have logged out, uninstall reinstall, and driven with the app open and even navigated every day for the last 4 days and still nothing changes. If this one flaw was fixed, I would give 6 stars if I could.",bug report,positive
4594,United States,1,I used to love the waze app and I had the worst experience this weekend in Florida,We are deleting this app today after a horrible weekend of getting lost and after choosing a route that didn't say tolls and had over 10.00 in tolls.,other,positive
4595,United States,1,24/7 location tracking,Sorry I don't think you need to know where I am at all times.,requirement,positive
4596,United States,1,Horrible,Directs me right into traffic and construction zones all the time. Also takes me on toll roads when I have my settings to avoid tolls. Terrible app.,bug report,positive
4597,United States,1,Allow access to location ALWAYS?,There's no need for this app to know where I am at all times. Creepy. Deleted it due to this requirement.,requirement,positive
4598,United States,1,"Tired of ""no GPS""",Love it when it works but even updating it it can't find the GPS. Basically this renders it useless. Very irritating.,bug report,positive
4599,United States,1,Thanks,Dropped rating to one star. This is the 2nd time I changed iPhones and the 2nd time you stole all my points. Thanks a lot.,bug report,positive
4600,United States,1,Stupid,Great app to help people avoid getting DUI's and let criminals avoid cops when you give away the cops positions. But whatever let some drunk hit a family traveling down the road cause you marked where the cop was and the drunk tries to avoid being caught. Good job,other,positive
4601,United States,1,Doesn't work,"All of a sudden the GPS for this app doesn't work. Tried everything by resetting phone, deleting then re-downloading the app. Loved the all but it's now useless since it doesn't work at all anymore.",bug report,positive
4602,United States,1,Geofence,Used to be 10 star app. Now it is impossible to disable the geofence issues with this app. Drains battery. Please fix,requirement,positive
4603,United States,1,Leaves GPS on 24x7,Burns battery when not in use. Lack ability to search along your route for gas/food etc. I'll go back to Google Maps.,requirement,positive
4604,United States,1,good and bad,Good app but the bad is it runs all the time and you used to be able to select while using.   Now you kill my battery on are 2 5s phones we still have please fix this i had to delete it from those phones now due to that.  even when not running it would make the battery drop to the extreme kow,requirement,positive
4605,United States,1,Worse more times than better,I should have trusted my gut and gone my own way.... waze is way too late,other,positive
4606,United States,1,Spying and wasting battery all the time.,"I've had waze for a long long time but I hate to say I absolutely disagree with their policy of not allowing location services only while using app. They are effectively spying on everything and killing your phone battery because the app accesses gps at all times. 

Thanks for ruining a great app. Uninstalling until you decide to allow the people who still do care about privacy and battery life the option to disable location services until using the app.",requirement,positive
4607,United States,1,Meh,Terrible service when it rains. Won't even load the directions,bug report,positive
4608,United States,1,Location services,My options with Waze are never use my location or always use my location. Really? There's not another option one can think of?,requirement,neutral
4609,United States,1,New update,This new update is horrible when going long distances. I have no idea where I am going and I just want to make it to my destination and have fun. I'm forced to use another navigation app. I WILL NOT be using this app until this is fixed. Negative stars!!,bug report,negative
4610,United States,1,Worst app ever,Put me in traffic that delayed me for an hour when it initially said would get me home in 30 min based on other wazers. Absolutely stupid. Should have went the way I normally went. Thanks waze for wasting my gas and time.,bug report,neutral
4611,United States,1,"Like what it does, but crappy it won't shut off location services!!!","While I like the app, I struggle to use it. If I forget to turn off location services every time, it kills my battery. I should not have to manually do this. 

All other maps don't operate this way.

For now, I stick with google unless I'm driving in rush hour.

Fix your issues!",requirement,neutral
4612,Australia,1,Bad coment bad coment,No contonese no contonese,requirement,negative
4613,United States,1,Offer ad free version - dangerous!,"I can't believe they let this app have all these ads, so dangerous.",other,neutral
4614,Canada,1,Bad detours,Used to love and use this regularly. Lately every detour it recommends has actually ADDED way more time to our trips. I don't recommend anymore.,bug report,neutral
